#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:10
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	53	Which of the following choices isn't a cloud computing category?<br>	Networking-as-a-Service (NaaS)	NaaS isn't a cloud computing category.		Platform-as-a-Service (PaaS) |&nbsp;Infrastructure-as-a-Service (IaaS) | Software-as-a-Service (SaaS)		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	60	Which of the following statements is true?	With Operating Expenses (OpEx), you are only responsible for the computing resources that you use.	With Operating Expenses (OpEx), you are only responsible for the computing resources that you use		With Operating Expenses (OpEx), you are responsible for purchasing and maintaining your computing resources. | With Capital Expenses (CapEx), you are only responsible for the computing resources that you use.		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	57	Which of the following options isn't a type of cloud computing?	Distributed cloud	A distributed cloud isn't a valid type of cloud computing		Hybrid cloud | Private cloud | Public cloud		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	52	Which of the following choices isn't a benefit of using cloud services?	Geographic isolation	You can choose to create resources in a single region; however, one of the primary advantages to cloud computing is geographic distribution.		Scalability | Disaster recovery | High availability		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	59	Which of the following statements is not true about cloud computing?	Cloud computing resources are usually limited to specific geographic regions.	Most cloud computing resources can be distributed to global data centers.		IaaS, PaaS, and SaaS are examples of cloud computing service models. | Cloud computing typically decreases your operating expenses. | Three cloud computing deployment models are public cloud, private cloud, and hybrid cloud.		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	112	You need to purchase an Azure account before you can use any Azure resources.	False	You can use a free Azure account or a Microsoft Learn sandbox to create resources.		True		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	113	In an IaaS environment, the cloud tenant is responsible for routine hardware maintenance.	False	In an IaaS environment, the cloud provider is responsible for any hardware maintenance.		True		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	51	Which of the following can be used to manage governance across multiple Azure subscriptions?	Management groups	Management groups facilitate the hierarchical ordering of Azure resources into collections, at a level of scope above subscriptions.<br><ul><li>Distinct governance conditions can be applied to each management group, with Azure Policy and Azure role-based access controls, to manage Azure subscriptions effectively.&nbsp;</li><li>The resources and subscriptions assigned to a management group automatically inherit the conditions applied to the management group.</li></ul>		Azure initiatives | Resource groups		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	56	Which of the following is a logical unit of Azure services that links to an Azure account?	Azure subscription	An Azure subscription is a logical unit of Azure services that links to an Azure account.		Management group | Resource group		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	55	Which of the following features doesn't apply to resource groups?	Resource groups can be nested.	Resource groups cannot be nested		Resources can be in only one resource group. | Role-based access control can be applied to the resource group.		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	58	Which of the following statements is a valid statement about an Azure subscription?	An Azure subscription is a logical unit of Azure services.	A subscription is a set of Azure services bundled together for tracking and billing purposes.		Using Azure doesn't require a subscription. | You can't have more than one subscription.		icertify
